ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;
Date: 15.06.2022;;;;
Start time: 13:15:12;;;;
Stop time: 13:15:46;;;;
Overruns: 0  Errorframes: 0                                          ;;;;
Baudrate: 250 kbit/s;;;;
Time;Identifier (hex);Format;Flags;Data (hex)
00:15:27.347;18B;Std;;01 00 00 00
00:15:27.348;28B;Std;;1F 00 F6 FF 15 00 5D 00
00:15:27.348;29B;Std;;BD FF BD FF BD FF BD FF
00:15:27.349;1FB;Std;;00 00 05 05 05 05 05 05
00:15:27.351;18F;Std;;00 20 05 00
00:15:27.351;48F;Std;;01 00 00 00 00 00
00:15:27.352;4AD;Std;;20 00 00 00 00 00 00 00
00:15:27.353;182;Std;;00 00 00 00 00 00 00 00
00:15:27.355;202;Std;;00 00 00 00 D4 30 D4 30
00:15:27.356;282;Std;;00 00 00 00 DC 00 D8 00
00:15:27.356;302;Std;;00 00 CF 08 F4 01 00 00
00:15:27.357;402;Std;;00 00 00 00 00 00 00 00
00:15:27.357;209;Std;;00 00 00 00 D4 30 D4 30
00:15:27.358;382;Std;;01 00 01 00 4F 50 00 00
00:15:27.358;309;Std;;00 00 CF 08 2C 01 00 00
00:15:27.359;409;Std;;00 00 00 00 00 00 00 00
00:15:27.360;204;Std;;00 00 00 00 00 00 00 00
00:15:27.360;482;Std;;00 00 FD FF 00 00 18 01
00:15:27.361;304;Std;;00 00 00 00 00 00 00 00
00:15:27.361;20F;Std;;00 04 04 04 01 00
00:15:27.361;20B;Std;;81 00 00 00
00:15:27.362;183;Std;;E5 00 B9 00 FE 00 03 00
00:15:27.364;283;Std;;01 00 05 00 00 00 00 00
00:15:27.367;383;Std;;00 00 00 00 00 00 00 00
00:15:27.369;483;Std;;00 00 00 00 00 40 00 00
00:15:27.372;1AE;Std;;00 00 00 00 00
00:15:27.373;4AE;Std;;00 00 00 00 00 00 00 00
00:15:27.373;184;Std;;00 00 00 00 00 07 0F 01
00:15:27.374;1AF;Std;;00 00 00 00 00 00 00 00
00:15:27.374;2AF;Std;;00 00 00 00 00 00 00 00
00:15:27.375;3AF;Std;;00 00 00 00 00 00 00 00
00:15:27.375;188;Std;;00 02 00 00 00 02 01 56
00:15:27.383;284;Std;;31 02 E0 27 4A 20 11 00
00:15:27.392;189;Std;;00 00 00 00 00 00 00 00
00:15:27.393;384;Std;;AD 02 F8 01 F5 01 F7 01
00:15:27.395;289;Std;;00 00 00 00 C4 00 C1 00
00:15:27.397;389;Std;;01 00 01 00 4F 50 00 00
00:15:27.399;489;Std;;00 00 FA FF 00 00 22 01
00:15:27.401;18A;Std;;D9 00 A8 00 D7 00 03 00
00:15:27.403;484;Std;;00 00 00 00 00 00 00 00
00:15:27.403;28A;Std;;07 00 01 00 00 00 00 00
00:15:27.406;38A;Std;;00 00 00 00 00 00 00 00
00:15:27.407;42E;Std;;11 00 00 00 C0 78 00 0D
00:15:27.408;48A;Std;;00 00 00 00 00 40 00 00
00:15:27.412;1AD;Std;;0C 00 01 01 05 01 01 00
00:15:27.412;24B;Std;;00 00 00 00 00 00 00 00
00:15:27.413;2AE;Std;;00 00 00 00 00 00 00 00
00:15:27.413;185;Std;;FD B3 49 F0 01 03 BB 33
00:15:27.414;24A;Std;;00 00 00 00 00 00 00 00
00:15:27.414;3AE;Std;;00 00 00 00 00 00 00 00
00:15:27.415;24C;Std;;00 00 00 00 00 00 00 00
00:15:27.415;712;Std;;5
00:15:27.423;285;Std;;01 00 90 42 81 00 00 01
00:15:27.431;2AD;Std;;00 00 00 00 00 00 00 00
00:15:27.432;3AD;Std;;00 00 00 00 00 00 00 00
00:15:27.433;385;Std;;00 00 00 00 00 00 00 00
00:15:27.434;709;Std;;5
00:15:27.443;485;Std;;FA 01 FA 01 CE 02 00 00
00:15:27.446;80;Std;;
00:15:27.449;18B;Std;;01 00 00 00
00:15:27.450;28B;Std;;1C 00 F6 FF 12 00 5A 00
00:15:27.450;29B;Std;;C0 FF C0 FF C0 FF BD FF
00:15:27.451;1FB;Std;;00 00 05 05 05 05 05 05
00:15:27.451;18F;Std;;00 20 05 00
00:15:27.452;4AD;Std;;20 00 00 00 00 00 00 00
00:15:27.453;287;Std;;00 00 00 00 00 00 00 00
00:15:27.456;202;Std;;00 00 00 00 D4 30 D4 30
00:15:27.457;302;Std;;00 00 CF 18 F4 01 00 00
00:15:27.457;402;Std;;00 00 00 00 00 00 00 00
00:15:27.458;209;Std;;00 00 00 00 D4 30 D4 30
00:15:27.459;309;Std;;00 00 CF 18 2C 01 00 00
00:15:27.459;409;Std;;00 00 00 00 00 00 00 00
00:15:27.460;204;Std;;00 00 00 00 00 00 00 00
00:15:27.460;304;Std;;00 00 00 00 00 00 00 00
00:15:27.461;20F;Std;;00 04 04 04 01 00
