ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;;
Date: 15.06.2022;;;;;
Start time: 13:05:12;;;;;
Stop time: 13:05:48;;;;;
Overruns: 0  Errorframes: 0                                          ;;;;;
Baudrate: 250 kbit/s;;;;;
Time;Identifier (hex);Format;Flags;Data (hex);
00:05:27.058;385;Std;;00 00 00 00 00 00 00 00;
00:05:27.059;42E;Std;;11 00 00 00 C0 78 00 0E;
00:05:27.060;52E;Std;;00 00 00 03 00 00 00 00;
00:05:27.063;188;Std;;00 02 00 00 00 02 01 26;
00:05:27.066;24B;Std;;00 00 00 00 00 00 00 00;
00:05:27.067;24A;Std;;00 00 00 00 00 00 00 00;
00:05:27.067;24C;Std;;00 00 00 00 00 00 00 00;
00:05:27.068;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:27.076;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:27.077;70F;Std;;5;
00:05:27.080;182;Std;;00 00 00 00 00 00 00 00;
00:05:27.082;282;Std;;00 00 00 00 DC 00 D9 00;
00:05:27.085;382;Std;;01 00 01 00 4F 50 00 00;
00:05:27.087;482;Std;;00 00 FD FF 00 00 17 01;
00:05:27.087;704;Std;;5;
00:05:27.089;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:27.091;283;Std;;01 00 05 00 00 00 00 00;
00:05:27.093;383;Std;;00 00 00 00 00 00 00 00;
00:05:27.096;483;Std;;00 00 00 00 00 40 00 00;
00:05:27.096;80;Std;;;
00:05:27.099;184;Std;;00 00 00 00 00 07 0F 01;
00:05:27.099;18B;Std;;01 00 00 00;
00:05:27.099;28B;Std;;1F 00 F8 FF 15 00 5D 00;
00:05:27.100;29B;Std;;C0 FF C0 FF BD FF BD FF;
00:05:27.100;100;Std;;F3 D3 CE 02 DD 36;
00:05:27.101;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:27.101;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:27.107;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:27.108;302;Std;;00 00 CF 08 F4 01 00 00;
00:05:27.108;402;Std;;00 00 00 00 00 00 00 00;
00:05:27.109;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:27.109;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:27.110;309;Std;;00 00 CF 08 2C 01 00 00;
00:05:27.110;409;Std;;00 00 00 00 00 00 00 00;
00:05:27.111;204;Std;;00 00 00 00 00 00 00 00;
00:05:27.111;304;Std;;00 00 00 00 00 00 00 00;
00:05:27.112;20F;Std;;00 04 04 04 01 00;
00:05:27.112;20B;Std;;81 00 00 00;
00:05:27.113;22E;Std;;00 00 FF FF 00 07 07 00;
